Age_Category,Gender,License,Coverage,Earned_Premium_Income,Exposure,Total_Paid,Estimated_Cost,Cost,No_of_Claims,No_of_Large_Claims,Dev_Year,Year,DevYear
17 to 20,Female,Full,All,7987472.4,8829.405756,5126010,1115775,6241785,592,10,5,2015,2011@2015
17 to 20,Female,Provisional,All,12272735.7,9360.831952,9365679,3487029,12852708,894,20,5,2015,2011@2015
17 to 20,Male,Full,All,14279059.2,10870.13866,15874856,6864176,22739032,761,34,5,2015,2011@2015
17 to 20,Male,Provisional,All,8302858.6,4433.129227,7010165,2605819,9615984,439,20,5,2015,2011@2015
21 to 24,Female,Full,All,23895909.1,38642.98117,13982660,4436932,18419592,2440,30,5,2015,2011@2015
21 to 24,Female,Provisional,All,12139811.9,12939.99079,7444770,576162,8020932,1106,14,5,2015,2011@2015
21 to 24,Male,Full,All,32072224.3,35785.99992,16581326,5037706,21619032,2178,40,5,2015,2011@2015
21 to 24,Male,Provisional,All,7365038,5570.386014,4839596,1988607,6828203,513,14,5,2015,2011@2015
25 to 30,Female,Full,All,48985004,100485.9871,27974368,3541443,31515811,6075,53,5,2015,2011@2015
25 to 30,Female,Provisional,All,12571016.4,16905.98316,7977145,2914037,10891182,1430,17,5,2015,2011@2015
25 to 30,Male,Full,All,54179406.1,84554.64261,32739312,11983135,44722447,5297,70,5,2015,2011@2015
25 to 30,Male,Provisional,All,9951407.9,10336.80718,6993854,2597855,9591709,885,22,5,2015,2011@2015
31 to 50,Female,Full,All,160622659.8,361265.0289,84911983,18900913,103812896,20910,135,5,2015,2011@2015
31 to 50,Female,Provisional,All,19167463.8,30286.47452,12402210,4559929,16962139,2264,34,5,2015,2011@2015
31 to 50,Male,Full,All,169822108.6,334392.1895,101895241,24676355,126571596,18688,175,5,2015,2011@2015
31 to 50,Male,Provisional,All,14235275.6,19559.75383,8622591,2292783,10915374,1474,21,5,2015,2011@2015
51 to 70,Female,Full,All,83546169,201837.738,36252036,6039880,42291916,9354,59,5,2015,2011@2015
51 to 70,Female,Provisional,All,7048617.1,12714.91478,2418601,3079231,5497832,654,6,5,2015,2011@2015
51 to 70,Male,Full,All,132393498.6,285855.8163,54658341,6031063,60689404,12837,81,5,2015,2011@2015
51 to 70,Male,Provisional,All,4663727.6,7417.181556,1493472,193446,1686918,376,0,5,2015,2011@2015
over 70,Female,Full,All,19993703.6,42997.64171,9147718,994123,10141841,2130,16,5,2015,2011@2015
